perf,rt,cond,block,sbj
1,589.9792,1,5,1
1,569.9791,3,5,1
1,749.9727,1,5,1
1,559.9798,2,5,1
1,569.9789,1,5,1
1,429.9865,3,5,1
1,429.9848,1,5,1
1,439.9839,1,5,1
1,469.9849,3,5,1
1,309.9897,1,5,1
1,449.9829,3,5,1
1,559.9796,1,5,1
1,469.8706,3,5,1
1,469.9812,1,5,1
1,329.9903,2,5,1
1,369.9859,1,5,1
1,509.9824,3,5,1
1,489.9829,1,5,1
1,509.9821,1,5,1
1,549.9814,3,5,1
1,409.9865,1,5,1
1,419.9858,1,5,1
1,429.9865,1,5,1
1,469.9826,3,5,1
1,429.9843,1,5,1
1,409.9848,1,5,1
1,509.9816,3,5,1
1,409.984,3,5,1
1,429.9854,1,5,1
1,570.0534,1,5,1
1,509.9819,1,5,1
1,379.9868,1,5,1
1,459.9856,3,5,1
1,450.0888,3,6,1
1,440.0096,1,6,1
1,389.9867,1,6,1
1,329.9872,1,6,1
1,399.9611,1,6,1
1,449.9843,3,6,1
1,489.9832,3,6,1
1,380.012,1,6,1
1,439.985,1,6,1
1,420.0104,2,6,1
1,409.8867,1,6,1
1,469.9838,3,6,1
1,550.006,3,6,1
1,499.9817,2,6,1
1,459.9822,1,6,1
1,389.9873,2,6,1
1,359.9888,1,6,1
1,419.9855,3,6,1
1,409.9848,2,6,1
1,479.9845,3,6,1
1,489.9821,1,6,1
1,469.981,1,6,1
1,409.9862,3,6,1
1,549.9814,2,6,1
0,309.9888,1,6,1
1,459.9844,1,6,1
1,419.9858,3,6,1
1,469.9846,1,6,1
1,409.9848,1,6,1
1,469.9835,3,6,1
1,429.9854,2,6,1
1,369.987,3,6,1
1,489.9824,1,6,1
1,379.8687,3,6,1
1,419.9631,1,6,1
1,749.9749,1,6,1
1,389.9834,3,6,1
0,389.9873,1,6,1
1,439.9839,1,6,1
1,509.9819,1,6,1
1,429.8932,3,6,1
1,339.9859,1,6,1
1,449.9832,1,6,1
1,399.9869,1,6,1
1,399.9844,3,6,1
1,509.9844,1,6,1
1,539.9477,1,6,1
1,569.9794,3,6,1
1,489.9818,3,6,1
1,479.9828,1,6,1
1,419.9844,1,6,1
0,420.0886,1,6,1
1,379.9857,2,6,1
1,399.9869,3,6,1
1,379.9868,1,6,1
1,539.9795,3,6,1
1,409.9862,1,6,1
1,479.9828,3,6,1
1,609.9781,1,6,1
1,379.9888,2,6,1
1,509.9813,1,7,1
1,369.9884,2,7,1
1,439.985,3,7,1
1,479.9831,1,7,1
0,NaN,1,7,1
1,459.9839,3,7,1
1,479.9828,3,7,1
0,379.86,1,7,1
1,449.9837,1,7,1
1,379.9611,1,7,1
1,320.1125,1,7,1
1,539.9804,3,7,1
1,389.9862,3,7,1
1,509.9807,2,7,1
1,479.9808,1,7,1
1,459.9828,1,7,1
1,569.9789,3,7,1
0,419.9838,1,7,1
1,499.9901,1,7,1
1,999.9654,3,7,1
1,429.9854,1,7,1
0,309.9877,1,7,1
1,529.9799,1,7,1
1,439.9836,3,7,1
1,469.9829,3,7,1
1,279.9901,1,7,1
0,519.9823,1,7,1
1,439.9852,3,7,1
1,540.0678,1,7,1
1,499.9823,1,7,1
1,639.9774,3,7,1
1,439.9847,1,7,1
1,379.9868,2,7,1
0,539.9809,1,7,1
1,539.9829,1,7,1
1,449.9848,3,7,1
1,639.9769,1,7,1
1,429.9834,1,7,1
1,409.9859,3,7,1
0,409.984,1,7,1
1,439.9847,3,7,1
1,359.9863,1,7,1
1,399.9841,2,7,1
1,589.9803,3,7,1
1,619.9805,1,7,1
1,619.9788,1,7,1
1,379.9854,3,7,1
1,439.9841,2,7,1
1,419.9838,2,7,1
1,419.9849,3,7,1
1,369.9853,2,7,1
1,439.9855,3,7,1
1,429.9865,1,7,1
1,459.9808,2,7,1
1,509.9835,3,7,1
1,439.9858,1,7,1
1,409.9834,1,7,1
1,469.9829,1,7,1
1,369.9842,1,7,1
1,349.9864,3,7,1
1,459.9844,3,8,1
1,340.0134,1,8,1
1,379.9616,2,8,1
1,399.9611,3,8,1
1,459.985,2,8,1
1,349.9867,1,8,1
1,389.8951,1,8,1
1,369.9878,3,8,1
1,499.9814,1,8,1
1,339.9882,1,8,1
1,539.9809,3,8,1
1,439.9847,1,8,1
1,439.9833,2,8,1
1,399.9863,2,8,1
1,359.9885,3,8,1
1,389.9878,1,8,1
1,459.9867,3,8,1
1,439.9836,1,8,1
1,579.9787,1,8,1
1,499.9876,3,8,1
1,389.9873,1,8,1
1,389.9864,3,8,1
1,449.9832,1,8,1
1,369.9881,1,8,1
1,449.9832,1,8,1
1,499.982,3,8,1
1,589.9767,1,8,1
1,519.9823,3,8,1
1,369.9884,1,8,1
1,429.984,2,8,1
1,399.9866,3,8,1
1,369.9867,1,8,1
1,449.9843,1,8,1
1,429.9854,3,8,1
1,509.9813,1,8,1
1,629.9767,1,8,1
1,529.9796,2,8,1
1,569.9258,1,8,1
1,389.987,3,8,1
1,449.9826,3,8,1
1,459.9814,1,8,1
1,429.9848,1,8,1
1,459.9856,1,8,1
1,449.9837,3,8,1
1,569.98,2,8,1
1,429.9843,2,8,1
1,439.983,3,8,1
1,629.9778,1,8,1
1,459.9839,1,8,1
1,379.9846,1,8,1
1,609.9798,3,8,1
1,460.1082,3,8,1
1,589.9792,1,8,1
